Source Target Review Time
142 10187 0 1065304800
140 10168 0 1065304800
143 10188 0 1065391200
144 10107 1 1065477600
85 10147 1 1065477600
143 10188 0 1065564000
145 10189 0 1065564000
146 10128 1 1065564000
146 10128 1 1065564000
136 10136 0 1065564000
147 10171 1 1065564000
27 10123 1 1065650400
148 10135 0 1065650400
149 10188 0 1065736800
33 10118 0 1065736800
150 10135 1 1065736800
103 10190 1 1065823200
151 10191 1 1065823200
152 10135 0 1065823200
153 10192 -1 1065909600
154 10135 1 1065909600
155 10135 1 1065909600
97 10113 1 1065996000
75 10181 0 1066082400
156 10127 0 1066168800
121 10129 1 1066168800
27 10147 1 1066168800
157 10172 1 1066255200
158 10190 1 1066255200
103 10193 1 1066255200
103 10194 1 1066255200
38 10117 1 1066255200
159 10181 1 1066341600
160 10195 -1 1066341600
161 10171 0 1066341600
162 10165 1 1066428000
163 10165 0 1066428000
164 10191 1 1066428000
49 10195 -1 1066428000
98 10148 0 1066428000
165 10196 0 1066514400
166 10124 0 1066514400
163 10147 1 1066514400
162 10197 1 1066600800
167 10135 1 1066600800
97 10135 1 1066600800
168 10198 -1 1066687200
169 10135 -1 1066687200
170 10197 0 1066773600
171 10199 1 1066773600
92 10113 -1 1066773600
172 10154 1 1066860000
173 10200 1 1066860000
174 10128 1 1066860000
174 10128 1 1066860000
175 10199 1 1066946400
163 10200 0 1066946400
176 10123 1 1066946400
136 10130 0 1066946400
177 10138 0 1066946400
178 10191 1 1067032800
178 10128 1 1067032800
129 10136 1 1067032800
179 10123 1 1067119200
175 10201 -1 1067205600
33 10129 1 1067205600
133 10113 -1 1067205600
180 10130 1 1067205600
162 10202 1 1067292000
20 10123 1 1067292000
181 10154 1 1067378400
182 10113 -1 1067378400
183 10115 -1 1067464800
184 10183 -1 1067464800
185 10203 -1 1067464800
186 10135 1 1067464800
187 10204 0 1067551200
188 10205 0 1067551200
183 10172 1 1067637600
189 10118 1 1067637600
190 10135 1 1067637600
49 10142 1 1067637600
191 10206 0 1067724000
192 10206 0 1067724000
128 10207 1 1067724000
17 10147 1 1067724000
22 10208 1 1067810400
93 10208 1 1067983200
193 10175 -1 1067983200
51 10209 -1 1067983200
194 10118 1 1067983200
195 10210 -1 1068069600
196 10210 -1 1068069600
137 10210 -1 1068069600
197 10211 1 1068069600
198 10209 -1 1068156000
199 10118 1 1068156000
49 10118 1 1068156000
200 10118 1 1068156000
20 10123 1 1068156000
201 10175 -1 1068242400
162 10118 1 1068242400
202 10126 1 1068242400
203 10143 0 1068242400
27 10118 0 1068328800
58 10135 1 1068328800
204 10113 1 1068328800
205 10148 1 1068328800
206 10150 1 1068415200
20 10123 1 1068588000
27 10123 1 1068588000
133 10212 1 1069970400
105 10212 1 1069970400
207 10213 1 1069970400
105 10118 1 1069970400
27 10123 1 1069970400
105 10129 -1 1069970400
59 10214 1 1070143200
208 10172 1 1070229600
59 10215 1 1070402400
86 10135 1 1070402400
86 10129 1 1070402400
105 10216 0 1070920800
209 10202 1 1070920800
86 10217 1 1071007200
210 10218 0 1071007200
210 10219 -1 1071007200
128 10220 0 1071007200
210 10121 1 1071007200
27 10123 1 1071007200
152 10221 -1 1071093600
152 10118 1 1071093600
211 10222 1 1071180000
212 10222 1 1071266400
213 10223 1 1071352800
214 10125 -1 1071352800
215 10222 1 1071439200
214 10173 1 1071439200
212 10222 1 1071525600
162 10147 1 1071525600
216 10224 1 1071525600
215 10222 1 1071612000
91 10225 -1 1071612000
217 10131 0 1071612000
218 10130 1 1071612000
219 10171 1 1071612000
220 10222 1 1071698400
221 10226 1 1071698400
221 10128 1 1071698400
214 10137 0 1071698400
222 10217 1 1071784800
223 10222 1 1071784800
188 10226 1 1071784800
224 10227 1 1071784800
225 10128 1 1071784800
226 10223 1 1071871200
227 10222 -1 1071871200
228 10228 1 1071871200
229 10123 1 1071871200
230 10128 1 1071871200
121 10129 1 1071871200
231 10136 0 1071871200
232 10130 -1 1071871200
233 10223 1 1071957600
211 10222 1 1071957600
59 10222 1 1071957600
232 10229 1 1071957600
27 10123 1 1071957600
234 10136 -1 1071957600
235 10230 1 1071957600
236 10231 1 1072044000
237 10175 -1 1072044000
238 10205 -1 1072130400
239 10129 1 1072130400
240 10200 1 1072216800
205 10212 0 1072216800
83 10222 1 1072216800
215 10222 1 1072216800
241 10222 1 1072216800
242 10232 1 1072216800
235 10233 -1 1072216800
243 10123 1 1072216800
237 10230 1 1072216800
244 10222 1 1072303200
245 10212 1 1072389600
9 10178 1 1072389600
233 10234 -1 1072389600
246 10129 1 1072389600
234 10136 -1 1072389600
128 10235 0 1072476000
213 10236 -1 1072476000
247 10135 1 1072476000
239 10212 0 1072562400
245 10171 1 1072562400
248 10171 1 1072562400
249 10221 -1 1072648800
212 10222 1 1072648800
244 10117 1 1072648800
250 10237 -1 1072648800
251 10135 1 1072648800
252 10142 -1 1072648800
211 10222 1 1072735200
212 10222 1 1072821600
253 10222 1 1072821600
242 10232 -1 1072821600
254 10165 1 1072908000
17 10178 1 1072908000
255 10238 1 1072908000
27 10123 1 1072908000
256 10147 0 1072908000
212 10222 1 1072994400
58 10238 0 1072994400
257 10239 1 1072994400
134 10240 1 1072994400
1 10236 -1 1072994400
258 10131 1 1072994400
177 10147 1 1072994400
1 10241 0 1073080800
233 10241 0 1073080800
245 10195 -1 1073080800
20 10123 1 1073080800
112 10123 1 1073080800
259 10135 1 1073080800
6 10135 1 1073080800
260 10111 1 1073080800
1 10173 1 1073080800
1 10147 1 1073080800
105 10215 1 1073167200
212 10222 0 1073167200
261 10128 -1 1073167200
262 10236 -1 1073253600
262 10242 0 1073253600
63 10118 1 1073253600
252 10127 1 1073253600
214 10128 0 1073253600
211 10222 1 1073340000
239 10226 0 1073340000
263 10243 1 1073426400
264 10231 1 1073426400
265 10231 1 1073426400
266 10222 1 1073426400
212 10222 1 1073426400
173 10244 1 1073426400
267 10245 1 1073426400
268 10118 1 1073426400
112 10123 1 1073426400
134 10145 1 1073426400
244 10135 1 1073426400
269 10135 1 1073426400
270 10128 1 1073426400
271 10147 1 1073426400
272 10178 1 1073512800
273 10244 1 1073512800
274 10246 -1 1073512800
174 10247 1 1073512800
275 10245 1 1073685600
276 10118 1 1073685600
277 10215 -1 1073772000
278 10222 1 1073772000
27 10147 0 1073772000
211 10222 1 1073858400
279 10222 0 1073858400
280 10244 1 1073858400
144 10117 1 1073858400
105 10117 1 1073858400
162 10139 1 1073858400
281 10244 1 1073944800
282 10248 1 1073944800
283 10135 1 1073944800
284 10107 0 1074031200
267 10249 -1 1074031200
284 10245 1 1074031200
222 10123 1 1074031200
205 10233 1 1074117600
285 10121 1 1074117600
103 10190 1 1074204000
286 10128 1 1074204000
212 10222 1 1074290400
139 10250 -1 1074290400
287 10128 1 1074290400
83 10151 1 1074376800
288 10201 0 1074376800
289 10147 -1 1074376800
290 10251 -1 1074463200
73 10212 1 1074463200
33 10129 0 1074463200
291 10252 1 1074549600
292 10253 -1 1074549600
293 10251 -1 1074636000
294 10223 1 1074636000
241 10222 1 1074636000
52 10222 1 1074636000
295 10252 1 1074636000
27 10123 1 1074636000
18 10135 1 1074636000
296 10154 1 1074722400
297 10193 0 1074722400
298 10223 1 1074722400
293 10254 0 1074722400
103 10255 1 1074722400
75 10108 1 1074722400
299 10128 1 1074722400
300 10115 1 1074808800
213 10256 1 1074808800
225 10152 0 1074808800
264 10223 0 1074895200
290 10257 0 1074895200
239 10258 1 1074895200
301 10118 1 1074895200
302 10178 1 1074981600
303 10135 0 1074981600
133 10107 1 1075068000
212 10222 1 1075068000
304 10259 -1 1075068000
305 10117 1 1075068000
144 10126 1 1075068000
306 10178 1 1075154400
293 10260 -1 1075154400
307 10261 1 1075240800
308 10135 1 1075240800
309 10165 -1 1075327200
310 10262 0 1075327200
290 10263 -1 1075327200
311 10117 1 1075327200
222 10123 1 1075327200
219 10135 1 1075327200
22 10135 0 1075327200
312 10165 1 1075413600
83 10212 0 1075413600
305 10195 -1 1075413600
313 10201 1 1075500000
314 10222 0 1075500000
212 10222 1 1075500000
315 10178 1 1075500000
316 10172 1 1075586400
17 10178 1 1075586400
19 10264 0 1075586400
235 10152 -1 1075586400
177 10147 1 1075586400
141 10243 -1 1075672800
317 10178 1 1075759200
318 10165 1 1075845600
314 10243 1 1075845600
319 10265 -1 1075845600
212 10222 1 1075932000
320 10222 0 1075932000
321 10266 1 1075932000
322 10188 1 1076018400
296 10267 1 1076018400
323 10265 1 1076018400
324 10117 1 1076018400
325 10117 1 1076018400
223 10222 1 1076104800
326 10265 1 1076104800
327 10268 1 1076104800
263 10117 1 1076191200
328 10117 1 1076191200
329 10128 -1 1076191200
98 10147 1 1076191200
330 10222 1 1076277600
133 10226 1 1076277600
331 10239 0 1076277600
332 10269 -1 1076277600
305 10230 1 1076277600
22 10212 1 1076450400
144 10178 1 1076450400
333 10266 1 1076450400
334 10266 1 1076450400
261 10267 1 1076450400
335 10270 1 1076450400
336 10117 1 1076450400
326 10135 1 1076450400
337 10135 1 1076450400
338 10150 0 1076450400
339 10271 1 1076536800
197 10272 -1 1076536800
77 10147 1 1076536800
340 10147 1 1076536800
71 10222 1 1076623200
312 10118 1 1076623200
112 10123 1 1076623200
222 10123 1 1076623200
341 10222 1 1076709600
337 10117 1 1076709600
239 10123 1 1076709600
342 10273 1 1076709600
343 10152 1 1076709600
344 10208 1 1076796000
128 10274 1 1076796000
345 10152 1 1076796000
346 10275 0 1076882400
347 10137 -1 1076882400
348 10117 1 1076968800
197 10276 1 1076968800
349 10242 -1 1076968800
350 10147 0 1076968800
351 10222 1 1077055200
178 10222 1 1077055200
352 10256 1 1077055200
141 10118 0 1077055200
353 10118 0 1077055200
27 10123 1 1077055200
354 10135 0 1077055200
231 10135 1 1077055200
355 10192 -1 1077141600
244 10222 1 1077141600
342 10236 -1 1077141600
356 10135 0 1077141600
357 10135 1 1077141600
298 10277 1 1077228000
358 10255 1 1077228000
359 10278 1 1077228000
337 10117 1 1077228000
360 10117 1 1077228000
361 10147 0 1077228000
220 10222 1 1077314400
183 10267 1 1077314400
193 10225 1 1077400800
362 10279 1 1077400800
91 10137 1 1077400800
363 10150 1 1077400800
364 10218 1 1077487200
197 10211 1 1077487200
162 10267 1 1077573600
265 10256 1 1077660000
183 10233 0 1077660000
305 10117 1 1077660000
365 10117 1 1077660000
112 10123 1 1077660000
366 10146 -1 1077660000
367 10222 1 1077832800
347 10178 1 1077832800
314 10118 -1 1077832800
368 10151 1 1077919200
369 10222 1 1077919200
370 10278 1 1077919200
371 10280 0 1077919200
311 10281 0 1077919200
372 10282 0 1077919200
210 10215 0 1078005600
373 10222 0 1078005600
174 10233 1 1078005600
374 10140 0 1078005600
321 10283 1 1078092000
375 10222 0 1078178400
376 10222 1 1078178400
109 10284 -1 1078264800
311 10284 0 1078264800
337 10117 1 1078264800
377 10117 1 1078264800
378 10117 1 1078264800
62 10152 1 1078264800
378 10147 1 1078264800
379 10181 -1 1078351200
178 10222 1 1078351200
295 10229 1 1078351200
380 10285 1 1078351200
222 10123 1 1078351200
381 10147 1 1078351200
382 10169 1 1078437600
383 10286 1 1078437600
294 10287 1 1078437600
384 10288 -1 1078437600
385 10233 1 1078437600
318 10108 1 1078437600
386 10135 1 1078437600
387 10107 0 1078524000
388 10222 1 1078524000
389 10285 -1 1078524000
390 10211 1 1078524000
391 10135 -1 1078524000
27 10129 0 1078524000
379 10167 1 1078610400
392 10212 -1 1078610400
393 10215 1 1078610400
386 10117 1 1078610400
394 10135 0 1078610400
133 10172 1 1078696800
395 10289 1 1078696800
396 10290 -1 1078696800
59 10291 1 1078783200
63 10225 0 1078869600
397 10292 1 1078869600
245 10293 0 1078869600
398 10294 1 1078869600
305 10233 1 1078869600
287 10222 1 1078956000
399 10288 1 1078956000
400 10295 -1 1078956000
244 10123 1 1078956000
112 10123 1 1078956000
148 10222 1 1079042400
178 10222 1 1079042400
401 10229 1 1079042400
402 10283 1 1079042400
403 10294 1 1079042400
16 10117 1 1079042400
105 10117 1 1079042400
404 10223 0 1079128800
367 10222 1 1079128800
366 10229 0 1079128800
244 10178 1 1079128800
405 10296 1 1079128800
229 10123 1 1079128800
406 10135 0 1079128800
245 10171 1 1079128800
383 10286 1 1079215200
345 10297 1 1079215200
407 10233 1 1079215200
8 10298 0 1079215200
408 10298 -1 1079215200
311 10146 0 1079215200
409 10146 -1 1079215200
92 10172 1 1079301600
410 10222 0 1079301600
317 10299 1 1079301600
411 10300 1 1079301600
247 10117 1 1079301600
197 10301 0 1079301600
412 10107 1 1079388000
388 10222 1 1079388000
413 10258 1 1079388000
414 10270 0 1079388000
92 10302 1 1079388000
305 10233 1 1079388000
223 10222 1 1079474400
415 10222 1 1079474400
416 10303 1 1079474400
417 10117 1 1079474400
121 10129 1 1079474400
49 10142 -1 1079474400
134 10177 1 1079560800
305 10177 0 1079560800
418 10304 1 1079560800
59 10229 1 1079560800
419 10305 -1 1079560800
142 10294 1 1079560800
245 10297 1 1079560800
420 10306 1 1079560800
421 10233 1 1079560800
422 10242 -1 1079560800
423 10307 1 1079560800
424 10265 1 1079647200
362 10308 1 1079647200
425 10309 1 1079647200
425 10309 1 1079647200
426 10310 1 1079647200
142 10311 -1 1079647200
427 10311 -1 1079647200
345 10311 1 1079647200
59 10311 1 1079647200
428 10312 1 1079647200
362 10313 0 1079647200
259 10135 0 1079647200
245 10243 1 1079733600
429 10168 1 1079733600
407 10233 1 1079733600
430 10314 1 1079733600
197 10315 1 1079733600
431 10140 -1 1079733600
432 10210 1 1079820000
433 10222 1 1079820000
17 10178 1 1079820000
434 10305 1 1079820000
435 10117 1 1079820000
436 10242 -1 1079820000
437 10316 1 1079906400
9 10317 -1 1079906400
347 10222 -1 1079992800
172 10318 1 1079992800
438 10222 1 1080079200
439 10137 -1 1080079200
440 10129 1 1080079200
441 10139 -1 1080079200
375 10214 -1 1080165600
244 10222 1 1080165600
415 10117 1 1080165600
442 10117 1 1080165600
177 10318 0 1080165600
375 10163 -1 1080252000
443 10178 1 1080252000
383 10286 1 1080252000
444 10319 1 1080252000
407 10233 1 1080252000
112 10123 1 1080252000
445 10171 0 1080252000
378 10147 0 1080252000
446 10320 -1 1080338400
447 10222 1 1080338400
448 10222 -1 1080338400
449 10248 -1 1080338400
446 10321 1 1080338400
450 10299 1 1080338400
451 10233 -1 1080338400
452 10123 1 1080338400
8 10123 1 1080338400
446 10322 1 1080338400
453 10318 1 1080338400
454 10318 1 1080338400
253 10222 1 1080424800
455 10222 1 1080424800
456 10304 1 1080424800
134 10293 -1 1080424800
457 10308 1 1080424800
458 10323 1 1080424800
459 10324 -1 1080424800
224 10325 0 1080424800
460 10326 0 1080424800
461 10327 0 1080424800
462 10236 -1 1080424800
460 10242 -1 1080424800
206 10137 0 1080424800
463 10190 1 1080511200
445 10266 1 1080511200
218 10296 1 1080511200
464 10222 0 1080597600
228 10262 1 1080597600
465 10289 0 1080597600
466 10328 1 1080597600
467 10329 -1 1080597600
43 10330 -1 1080597600
468 10117 1 1080597600
469 10331 0 1080597600
238 10318 1 1080597600
103 10226 1 1080684000
470 10178 1 1080684000
460 10239 1 1080684000
471 10278 1 1080684000
472 10286 1 1080684000
473 10330 -1 1080684000
474 10117 1 1080684000
475 10332 0 1080684000
476 10123 1 1080684000
112 10123 1 1080684000
420 10227 1 1080684000
210 10140 -1 1080684000
239 10222 1 1080770400
477 10333 1 1080770400
466 10123 1 1080770400
239 10123 1 1080770400
426 10334 0 1080856800
235 10308 1 1080856800
222 10123 1 1080856800
472 10286 1 1080943200
478 10335 1 1080943200
479 10336 0 1080943200
27 10129 1 1080943200
85 10140 -1 1080943200
480 10309 1 1081029600
426 10337 1 1081029600
481 10338 1 1081029600
426 10339 -1 1081029600
466 10123 1 1081029600
482 10171 1 1081029600
483 10318 -1 1081029600
414 10340 1 1081116000
484 10127 0 1081116000
400 10129 1 1081116000
485 10208 1 1081202400
486 10341 1 1081202400
487 10342 1 1081202400
485 10242 1 1081202400
9 10118 1 1081202400
488 10222 1 1081288800
489 10341 0 1081288800
482 10117 1 1081288800
482 10117 1 1081288800
490 10117 1 1081288800
491 10279 1 1081288800
452 10123 1 1081288800
492 10123 1 1081288800
121 10129 1 1081288800
375 10136 0 1081288800
345 10136 0 1081288800
493 10222 0 1081375200
220 10222 1 1081375200
419 10343 1 1081375200
494 10342 1 1081375200
407 10233 1 1081375200
495 10117 1 1081375200
496 10118 -1 1081375200
27 10123 1 1081375200
242 10344 1 1081375200
497 10151 1 1081461600
498 10345 1 1081461600
499 10117 1 1081461600
52 10118 0 1081461600
271 10147 1 1081461600
153 10107 1 1081548000
500 10346 0 1081548000
501 10223 1 1081548000
502 10229 0 1081548000
503 10294 1 1081548000
222 10123 1 1081548000
504 10229 1 1081634400
505 10250 1 1081634400
478 10259 1 1081634400
383 10286 1 1081634400
83 10233 1 1081634400
506 10347 1 1081634400
507 10348 1 1081634400
508 10349 1 1081634400
509 10131 0 1081634400
510 10128 1 1081634400
511 10344 0 1081634400
512 10222 1 1081720800
231 10222 1 1081720800
513 10350 -1 1081720800
364 10351 1 1081720800
514 10352 0 1081720800
491 10257 0 1081807200
413 10172 1 1081893600
85 10212 -1 1081893600
515 10219 1 1081893600
465 10353 1 1081893600
516 10326 1 1081893600
428 10354 -1 1081893600
517 10242 -1 1081893600
27 10123 1 1081893600
518 10322 0 1081893600
196 10141 1 1081980000
383 10286 1 1081980000
519 10355 1 1081980000
515 10323 1 1081980000
83 10233 1 1081980000
224 10356 -1 1081980000
73 10129 1 1081980000
495 10286 1 1082066400
434 10338 -1 1082066400
487 10357 1 1082066400
224 10358 1 1082066400
520 10193 1 1082152800
521 10222 1 1082152800
400 10229 1 1082152800
522 10164 1 1082152800
245 10233 0 1082152800
523 10347 -1 1082152800
524 10359 1 1082152800
525 10360 1 1082152800
526 10361 1 1082152800
527 10123 1 1082152800
528 10128 -1 1082152800
222 10129 1 1082152800
506 10344 1 1082152800
277 10243 1 1082239200
529 10319 -1 1082239200
441 10233 -1 1082239200
269 10233 -1 1082239200
115 10233 -1 1082239200
530 10347 -1 1082239200
428 10362 -1 1082239200
531 10362 1 1082239200
487 10363 1 1082239200
482 10171 1 1082239200
253 10222 1 1082325600
532 10222 1 1082325600
533 10364 -1 1082325600
534 10365 1 1082325600
487 10366 1 1082325600
495 10129 1 1082325600
105 10229 1 1082412000
364 10351 1 1082412000
533 10367 -1 1082412000
481 10367 -1 1082412000
105 10147 1 1082412000
277 10229 -1 1082498400
428 10259 -1 1082498400
498 10345 1 1082498400
535 10368 1 1082498400
535 10369 1 1082498400
536 10370 1 1082498400
277 10123 1 1082498400
537 10230 1 1082498400
538 10178 1 1082584800
539 10371 1 1082584800
540 10372 1 1082584800
299 10140 1 1082584800
541 10212 -1 1082671200
542 10267 1 1082671200
543 10319 -1 1082671200
212 10222 1 1082844000
447 10222 1 1082844000
544 10222 1 1082844000
401 10262 0 1082844000
545 10373 1 1082844000
546 10107 0 1082930400
547 10374 -1 1082930400
548 10375 1 1083103200
226 10188 1 1083103200
322 10188 1 1083103200
91 10229 1 1083103200
549 10294 1 1083189600
550 10347 -1 1083189600
551 10115 1 1083276000
544 10376 1 1083276000
148 10222 1 1083276000
105 10222 1 1083276000
552 10355 1 1083276000
364 10377 1 1083276000
553 10378 0 1083276000
364 10379 1 1083276000
554 10380 -1 1083276000
554 10381 1 1083276000
555 10320 -1 1083362400
556 10251 -1 1083362400
557 10378 1 1083362400
558 10355 1 1083448800
555 10350 -1 1083448800
559 10382 1 1083448800
558 10222 -1 1083535200
560 10362 1 1083535200
407 10383 1 1083535200
292 10384 1 1083535200
561 10128 1 1083535200
562 10107 1 1083621600
547 10385 1 1083621600
547 10386 1 1083621600
92 10108 1 1083621600
563 10387 -1 1083621600
547 10388 1 1083621600
401 10389 1 1083708000
564 10117 1 1083708000
33 10129 1 1083708000
565 10262 -1 1083794400
434 10363 1 1083794400
565 10377 -1 1083794400
305 10383 1 1083794400
566 10108 1 1083794400
311 10390 1 1083794400
487 10391 -1 1083794400
567 10392 -1 1083794400
566 10200 0 1083880800
568 10210 -1 1083880800
220 10222 1 1083880800
569 10270 -1 1083880800
570 10274 1 1083880800
524 10393 1 1083880800
571 10394 -1 1083880800
40 10395 -1 1083880800
572 10396 1 1083880800
573 10147 0 1083880800
487 10397 1 1083967200
574 10107 -1 1084053600
575 10172 1 1084053600
199 10226 -1 1084053600
547 10363 1 1084053600
576 10398 1 1084053600
577 10398 1 1084053600
277 10108 0 1084053600
518 10396 1 1084053600
555 10350 -1 1084140000
578 10350 -1 1084140000
579 10108 1 1084140000
203 10399 1 1084140000
309 10400 1 1084140000
580 10401 0 1084140000
574 10140 1 1084140000
286 10154 1 1084226400
581 10201 -1 1084226400
582 10402 0 1084226400
583 10403 1 1084226400
584 10158 1 1084226400
585 10223 1 1084312800
586 10404 1 1084312800
587 10356 -1 1084312800
438 10389 1 1084312800
588 10405 0 1084312800
451 10383 0 1084312800
589 10108 0 1084312800
434 10406 -1 1084312800
590 10407 1 1084312800
591 10138 1 1084312800
592 10226 1 1084399200
593 10309 -1 1084399200
594 10356 -1 1084399200
595 10117 1 1084399200
596 10398 1 1084399200
597 10383 -1 1084399200
592 10108 1 1084399200
598 10408 1 1084399200
586 10319 -1 1084485600
599 10409 0 1084485600
43 10399 1 1084485600
600 10399 1 1084485600
601 10400 1 1084485600
602 10410 1 1084485600
301 10411 -1 1084485600
603 10222 1 1084572000
383 10286 1 1084572000
604 10299 1 1084572000
552 10355 1 1084572000
605 10371 1 1084572000
606 10389 1 1084572000
607 10399 1 1084572000
457 10373 1 1084572000
526 10412 1 1084572000
608 10135 1 1084572000
609 10135 1 1084572000
566 10152 1 1084572000
610 10229 1 1084658400
611 10229 -1 1084658400
1 10267 1 1084658400
612 10321 0 1084658400
613 10345 -1 1084658400
614 10412 0 1084658400
426 10413 -1 1084658400
612 10414 1 1084658400
615 10273 1 1084658400
1 10129 1 1084658400
572 10388 1 1084658400
616 10115 1 1084744800
617 10294 1 1084744800
434 10404 1 1084744800
546 10128 1 1084744800
618 10173 1 1084744800
619 10171 1 1084831200
620 10107 1 1084917600
621 10192 -1 1084917600
